               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.060974,            0.018333,            0.030256,             0.17962,               0.525,             0.41148,             0.13457,            0.030033,            0.010145,            0.019154,            0.006436,            0.006436,            0.006436
                  38,            0.051957,            0.019104,            0.030715,             0.22733,             0.46393,             0.49296,             0.17826,            0.034553,           0.0097903,            0.018775,            0.006337,            0.006337,            0.006337
                  39,            0.061758,             0.01924,            0.027921,             0.22733,             0.46393,             0.49296,             0.17826,            0.034553,           0.0097903,            0.018775,            0.006238,            0.006238,            0.006238
                  40,            0.056307,            0.017948,            0.028547,             0.24832,             0.66223,             0.52612,             0.19586,            0.032711,            0.009903,            0.018461,            0.006139,            0.006139,            0.006139
                  41,            0.054114,            0.019468,            0.026267,             0.24832,             0.66223,             0.52612,             0.19586,            0.032711,            0.009903,            0.018461,             0.00604,             0.00604,             0.00604
                  42,            0.054642,            0.017592,            0.026561,             0.27715,                 0.8,             0.53902,             0.20206,            0.031918,           0.0099756,            0.018168,            0.005941,            0.005941,            0.005941
                  43,            0.057808,            0.019347,             0.02942,             0.19016,               0.825,             0.39218,             0.12238,             0.03353,           0.0093272,            0.018072,            0.005842,            0.005842,            0.005842
                  44,            0.053707,            0.015005,            0.023839,             0.19016,               0.825,             0.39218,             0.12238,             0.03353,           0.0093272,            0.018072,            0.005743,            0.005743,            0.005743
                  45,            0.055899,            0.018788,            0.028261,             0.21262,             0.82065,             0.44334,              0.1715,            0.030596,           0.0095015,            0.017826,            0.005644,            0.005644,            0.005644
                  46,            0.048862,            0.017292,            0.024877,             0.25591,               0.925,             0.34827,             0.18793,            0.036251,           0.0086021,            0.018083,            0.005545,            0.005545,            0.005545
                  47,            0.058467,            0.017894,            0.027496,             0.25591,               0.925,             0.34827,             0.18793,            0.036251,           0.0086021,            0.018083,            0.005446,            0.005446,            0.005446
                  48,            0.056482,            0.016568,            0.028464,             0.41822,                   1,             0.68351,             0.36062,            0.027684,           0.0091171,            0.017525,            0.005347,            0.005347,            0.005347
                  49,            0.054065,             0.01683,            0.030695,             0.41822,                   1,             0.68351,             0.36062,            0.027684,           0.0091171,            0.017525,            0.005248,            0.005248,            0.005248
                  50,            0.052552,            0.021404,            0.027403,             0.40983,                   1,             0.65743,             0.36372,            0.026013,           0.0091487,            0.017384,            0.005149,            0.005149,            0.005149
                  51,            0.045394,            0.016367,            0.023744,             0.42772,                   1,             0.70931,             0.27992,            0.030966,           0.0087266,            0.016973,             0.00505,             0.00505,             0.00505
                  52,            0.055279,            0.017469,            0.026003,             0.42772,                   1,             0.70931,             0.27992,            0.030966,           0.0087266,            0.016973,            0.004951,            0.004951,            0.004951
                  53,            0.044443,            0.016193,            0.025478,             0.45276,                   1,             0.70968,             0.34318,            0.023495,           0.0089579,            0.016434,            0.004852,            0.004852,            0.004852
                  54,            0.050117,            0.019086,            0.026759,             0.29824,             0.72276,             0.34651,             0.11588,            0.036085,           0.0079685,            0.016602,            0.004753,            0.004753,            0.004753
                  55,            0.050783,            0.014649,            0.023494,             0.29824,             0.72276,             0.34651,             0.11588,            0.036085,           0.0079685,            0.016602,            0.004654,            0.004654,            0.004654
                  56,            0.049875,            0.018648,            0.026856,             0.47009,                   1,             0.77306,             0.38936,            0.022482,           0.0088497,            0.016555,            0.004555,            0.004555,            0.004555
                  57,            0.046778,            0.018049,            0.026469,             0.47009,                   1,             0.77306,             0.38936,            0.022482,           0.0088497,            0.016555,            0.004456,            0.004456,            0.004456
                  58,            0.046312,            0.015774,            0.023088,             0.47888,                   1,              0.7641,             0.32863,            0.024579,           0.0087031,            0.016354,            0.004357,            0.004357,            0.004357
                  59,            0.043725,            0.016439,            0.025767,             0.40386,                   1,             0.66415,             0.27249,             0.03302,           0.0082134,             0.01615,            0.004258,            0.004258,            0.004258
                  60,            0.050552,            0.016946,            0.026957,             0.40386,                   1,             0.66415,             0.27249,             0.03302,           0.0082134,             0.01615,            0.004159,            0.004159,            0.004159
                  61,            0.042381,            0.013631,            0.021003,             0.49285,                   1,             0.74973,              0.3906,            0.024036,           0.0084845,             0.01593,             0.00406,             0.00406,             0.00406
                  62,            0.039228,            0.015982,            0.023576,             0.34056,                   1,             0.71788,             0.32055,            0.026349,           0.0080058,              0.0156,            0.003961,            0.003961,            0.003961
