               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049067,            0.018197,            0.027865,             0.49878,                 0.9,             0.75348,              0.3369,            0.029942,            0.010239,            0.018784,             0.00307,             0.00307,             0.00307
                  37,            0.043277,            0.016299,            0.027187,              0.4783,                 0.9,             0.73879,             0.42847,            0.028059,            0.010207,            0.018479,            0.002872,            0.002872,            0.002872
                  38,            0.046557,            0.015255,            0.027569,              0.4214,                 0.9,             0.58478,             0.26418,             0.02856,             0.01017,             0.01832,            0.002674,            0.002674,            0.002674
                  39,            0.048317,            0.016552,            0.027718,             0.53465,               0.935,             0.78443,             0.53259,            0.025412,           0.0099668,            0.018071,            0.002476,            0.002476,            0.002476
                  40,            0.041833,            0.017088,            0.027199,             0.53465,               0.935,             0.78443,             0.53259,            0.025412,           0.0099668,            0.018071,            0.002278,            0.002278,            0.002278
                  41,            0.041378,            0.016987,            0.027091,             0.61221,                   1,             0.85113,              0.5258,            0.024069,           0.0098625,            0.018051,             0.00208,             0.00208,             0.00208
                  42,             0.04164,              0.0164,               0.027,             0.67239,             0.74332,             0.85628,             0.46294,            0.027219,           0.0098877,            0.017855,            0.001882,            0.001882,            0.001882
                  43,            0.045135,            0.016211,            0.026883,             0.71429,             0.93047,             0.90412,             0.56755,            0.021403,           0.0097346,            0.017788,            0.001684,            0.001684,            0.001684
                  44,            0.037773,            0.014674,             0.02601,             0.71429,             0.93047,             0.90412,             0.56755,            0.021403,           0.0097346,            0.017788,            0.001486,            0.001486,            0.001486
                  45,            0.036674,            0.016721,            0.025901,             0.72546,             0.88123,             0.91267,             0.60065,            0.021671,           0.0096682,             0.01765,            0.001288,            0.001288,            0.001288
                  46,            0.037833,            0.016091,            0.026249,             0.76045,             0.80082,             0.92044,             0.62749,            0.021006,           0.0096053,            0.017489,             0.00109,             0.00109,             0.00109
